GEOID,DIST
121079501003021,1
121079503003061,2
121079513002152,5
121079503001234,2
121079503001131,2
121079514021095,5
121079505003015,2
121079511004004,3
121079503001183,2
121079507003001,4
121079501001015,1
121079512001031,3
121079502021002,1
121079514021048,5
121079502011010,1
121079513002031,5
121079507002028,4
121079502011077,1
121079506003064,4
121079502021003,1
121079502011006,1
121079503001211,2
121079505002080,2
121079501001026,1
121079501003029,1
121079502013047,1
121079501003049,1
121079507003000,4
121079507001078,4
121079507002043,4
121079505004041,2
121079512003056,3
121079505001010,5
121079503002032,2
121079503003132,2
121079501003010,1
121079502012106,1
121079502014014,1
121079502012102,1
121079512004056,3
121079505001003,5
121079508004007,4
121079503003071,2
121079505002011,2
121079513002028,5
121079503001075,2
121079503004061,2
121079503001087,2
121079510003008,3
121079503003129,2
121079513002149,5
121079502012005,1
121079509001010,4
121079501003001,1
121079513002025,5
121079502022040,1
121079501003054,1
121079503001239,2
121079511004001,3
121079512001054,3
121079514012007,5
121079503001100,2
121079505001036,3
121079512004068,3
121079512004065,3
121079505001047,5
121079507002030,4
121079505004046,2
121079503001218,2
121079509001037,4
121079502011016,1
121079502013216,1
121079502012049,1
121079502013164,1
121079505004096,2
121079505002020,2
121079513002122,5
121079502011005,1
121079514021015,5
121079503004033,2
121079506001016,3
121079502013105,1
121079508001038,3
121079508001021,4
121079504002002,2
121079505002084,2
121079513002035,5
121079507001068,4
121079509005000,3
121079514013045,5
121079507001089,4
121079506001006,3
121079503002007,2
121079507001080,4
121079501003048,1
121079503001148,2
121079514023000,5
121079513001088,5
121079509006011,4
121079502022001,1
121079502021008,1
121079506002012,3
121079513002154,5
121079513002112,5
121079502014067,1
121079513002012,5
121079503001121,2
121079512002023,5
121079503001124,2
121079513002004,5
121079503003001,2
121079504002031,2
121079505003016,2
121079512005026,5
121079501002013,1
121079501001041,1
121079504002007,2
121079507001049,4
121079504001005,2
121079505004099,2
121079503001193,2
121079502011022,1
121079503002062,2
121079503001023,2
121079502013261,1
121079506002025,3
121079509001009,4
121079511004010,3
121079502011029,1
121079514011021,5
121079502022117,1
121079507002027,4
121079502012138,1
121079507004030,4
121079512003064,3
121079512003074,3
121079511003011,3
121079507001030,4
121079503002035,2
121079502013188,1
121079508001023,4
121079506002018,3
121079513001068,5
121079514022004,5
121079506003018,4
121079507002002,4
121079512004081,3
121079514013032,5
121079511004020,3
121079507002026,4
121079512003012,3
121079512004053,3
121079502013128,1
121079506003052,4
121079505001068,5
121079505002099,2
121079503001200,2
121079503001207,2
121079502012156,1
121079505002069,2
121079505002047,2
121079505002022,2
121079505002018,2
121079503001011,2
121079507004032,4
121079513002155,5
121079511003014,3
121079503002027,2
121079507004036,4
121079513001067,5
121079509002002,4
121079505004090,2
121079502012142,1
121079502012050,1
121079514011027,5
121079502012013,1
121079502012139,1
121079503003018,2
121079505001037,3
121079505004105,2
121079513001073,5
121079514011062,5
121079502022090,1
121079502013284,1
121079502014059,1
121079507002051,4
121079514022019,5
121079505004000,2
121079512001013,3
121079502013007,1
121079506003086,4
121079507002037,4
121079503001232,2
121079513002117,5
121079513002078,5
121079502013170,1
121079503001030,2
121079502013221,1
121079503002006,2
121079502014077,1
121079509001000,3
121079503004007,2
121079512005027,5
121079512001049,3
121079512003075,3
121079502013063,1
121079513001029,5
121079514013034,5
121079508002010,4
121079508004029,4
121079512004089,3
121079512004031,3
121079509002003,4
121079502014055,2
121079505004089,2
121079514021001,5
121079510003004,3
121079507001076,4
121079505004069,2
121079503003108,2
121079502022004,1
121079509006020,4
121079509002001,4
121079507001003,1
121079511001007,3
121079510002019,3
121079506002039,3
121079514023001,5
121079506003079,3
121079507004002,4
121079506003083,4
121079503003091,2
121079503003095,2
121079503003054,2
121079502021022,1
121079506002026,3
121079512002031,5
121079511003037,3
121079513002030,5
121079502014026,2
121079505004068,2
121079513001017,5
121079512004061,3
121079503004034,2
121079507003010,4
121079514011025,5
121079505004007,2
121079505003005,2
121079514023003,5
121079512005002,5
121079512005008,5
121079502013270,1
121079511003029,3
121079510003049,3
121079502012032,1
121079502013171,1
121079513002163,5
121079512003021,3
121079507002073,4
121079502021020,1
121079508004030,4
121079506002019,3
121079501002008,1
121079505002003,2
121079502013004,1
121079502013072,1
121079510001013,1
121079508001004,4
121079507001081,4
121079505002075,2
121079514011047,5
121079503004029,2
121079505001031,5
121079509004004,3
121079506001011,3
121079502013278,1
121079503002000,1
121079512001047,3
121079503003142,2
121079509006024,4
121079504001029,2
121079513002014,5
121079509004014,4
121079503003068,2
121079503001160,2
121079503001203,2
121079508002043,4
121079502012146,2
121079513002120,5
121079507002007,4
121079507001064,4
121079511002042,3
121079503003148,2
121079502011067,1
121079502012006,1
121079503001084,2
121079503001113,2
121079513002064,5
121079506003089,1
121079514011032,5
121079501002025,1
121079502022025,1
121079508001009,4
121079513001021,5
121079514013056,5
121079502013013,1
121079505004043,2
121079505004058,2
121079504001031,2
121079508003000,3
121079508004032,4
121079509006000,4
121079514022011,5
121079503002033,2
121079502013180,1
121079502013256,1
121079505003025,2
121079507003019,4
121079507002005,4
121079514021056,5
121079510001007,1
121079512003079,3
121079512004079,3
121079502013093,1
121079508002042,4
121079512003049,3
121079502013129,1
121079508001005,4
121079507002009,4
121079505004110,2
121079514013079,5
121079512004055,3
121079503002057,2
121079506003082,1
121079512003020,3
121079507001097,4
121079503003070,2
121079512001036,3
121079502012061,1
121079505003053,2
121079501001039,1
121079507002011,4
121079502011043,2
121079505002049,2
121079503002031,2
121079509002024,4
121079503001198,2
121079510001017,1
121079513002019,5
121079502013140,1
121079509006004,4
121079503001101,2
121079502022074,1
121079514023042,5
121079513002151,5
121079503001078,2
121079503001135,2
121079513002159,5
121079501001007,1
121079505003029,2
121079514023022,5
121079502022092,1
121079502014040,2
121079502021011,1
121079503003179,2
121079503001213,2
121079514022037,5
121079510003046,3
121079505004016,2
121079502021027,1
121079504002018,2
121079512003065,3
121079502014009,1
121079502014012,1
121079503003159,2
121079513002136,5
121079503001015,2
121079513001056,5
121079506003026,1
121079506002031,1
121079512005020,5
121079514013009,5
121079510002023,3
121079503001139,2
121079514011066,5
121079512004038,3
121079512001050,3
121079502013119,1
121079502013116,1
121079502013181,1
121079503003088,2
121079501003046,1
121079502022132,1
121079509005014,3
121079502013218,1
121079514013043,5
121079512003028,3
121079503001083,2
121079514013069,5
121079503003058,2
121079513002160,5
121079513001038,5
121079513002095,5
121079502011042,1
121079507001066,4
121079502012163,1
121079511003001,3
121079502022050,1
121079502022033,1
121079503003176,2
121079502011040,1
121079503004028,2
121079513001079,5
121079511004025,3
121079503001050,2
121079502012130,1
121079502012090,1
121079502012081,1
121079513002130,5
121079507001039,4
121079502014018,1
121079507001014,4
121079501002005,1
121079501003027,1
121079513002085,5
121079514023036,5
121079502022091,1
121079505002008,2
121079503001118,2
121079510003047,3
121079502021000,1
121079501001023,1
121079503002060,2
121079507003011,4
121079502013003,1
121079505001002,5
121079502012052,1
121079502012036,1
121079502013156,1
121079502013271,1
121079513002124,5
121079502022011,1
121079506003069,1
121079513002062,5
121079502012132,1
121079508001028,4
121079501001027,1
121079502011074,1
121079512004018,3
121079502013186,1
121079507003006,4
121079501003057,1
121079502014058,1
121079509002025,4
