GEOID20,DIST
281210203041055,4
281210201032017,3
281210202161018,1
281210202171000,1
281210202102015,2
281210208031045,0
281210209023026,2
281210203042013,1
281210201013026,2
281210209023006,2
281210201051098,2
281210208032019,0
281210201032003,3
281210201013015,2
281210201032006,2
281210202101009,1
281210201041014,3
281210210032004,4
281210208061001,3
281210208061035,0
281210209021053,0
281210202086015,3
281210208043018,0
281210202161007,1
281210202102009,2
281210201011019,2
281219800001014,1
281210201051029,2
281210208052036,0
281210210043008,4
281210202193015,3
281210202141003,1
281210204021031,4
281210209011042,0
281210210042000,4
281210210034000,4
281210204012027,4
281210202121011,1
281210204024016,4
281210208062024,0
281210203041030,1
281210208043014,0
281210202191000,1
281210210031007,4
281210202101002,2
281210203043025,1
281210203041058,4
281210210034029,4
281210209011016,0
281210208031035,0
281210209011068,0
281210209023007,2
281210210031010,4
281210201011059,2
281210208011013,3
281210201011026,2
281210210042027,4
281210208032017,0
281210201012014,2
281210201011021,2
281210208031014,0
281210208031021,0
281210208061000,3
281210204023008,4
281210204021032,4
281210209012026,0
281210201051075,2
281210202181004,2
281210204022018,4
281210204011004,4
281210201051082,2
281210208044011,0
281210203041002,1
281210202102007,2
281210206012010,0
281210201051080,2
281210204013013,4
281210202103000,2
281210201042009,2
281210210033006,4
281210202121036,1
281210203041082,4
281210201032016,3
281210202152037,1
281210203041080,4
281210210034005,4
281210201041024,2
281210202151001,1
281210201011001,2
281210201051100,2
281210208031058,0
281210203041056,4
281210202172003,1
281210201012051,2
281210201012046,2
281210208032006,0
281210208031005,0
281210209012011,0
281210202085008,3
281210209011007,0
281210209022002,2
281210208052016,3
281210201031011,3
281210201051019,2
281210208043001,0
281210210033016,4
281210210033031,4
281210203041062,4
281210208052011,3
281210201051092,2
281210209011029,0
281210203043031,1
281210202152004,1
281210204012034,4
281210202152014,1
281210208011003,3
281210210012015,4
281210210033023,4
281210201051066,2
281210210041021,4
281210202142014,1
281210210033008,4
281210210012021,4
281210202181010,2
281210208061027,3
281210204012019,4
281210204024003,4
281210209023018,2
281210202094013,1
281210202152028,1
281210209023004,2
281210208012026,3
281210208061032,0
281210202092004,2
281210209021058,0
281210201012012,2
281210209011079,0
281210204022016,4
281210203042008,1
281210202094010,1
281210209022015,0
281210202083000,3
281210208052023,0
281210210051006,0
281210210012002,4
281210204022007,4
281210208012022,3
281210203041053,4
281210201051074,2
281210201051088,2
281210201012043,2
