GEOID,DIST
010730143033003,3
010730144102003,6
010730143041007,3
010730143031026,3
011170303502012,1
011170303473010,2
010730144103027,1
010730129081004,5
010730129071028,5
010730129071023,0
010730144103022,1
011170303043014,0
011170303051001,0
011170303472021,2
010730144122025,4
011170303502065,1
011170303511001,1
011170303482004,2
011170303462064,0
010730144121008,4
010730144053005,4
010730144122057,4
010730143043027,3
010730142081010,1
010730129171004,5
011170302202007,2
011170303142002,0
011170303042033,0
010730144101016,0
010730129073039,5
010730129131010,6
010730129073038,5
010730144142013,3
010730144091041,5
011170303501023,1
010730142091021,1
010730129072023,0
010730129172010,5
010730144101003,1
010730129084012,5
010730129083005,5
010730129172006,5
011170303472002,2
011170302162003,2
011170303462005,2
011170302202025,2
011170303522041,0
011170303151004,0
011170303501038,1
011170302203009,2
011170302211007,2
011170302202027,2
010730144143021,5
011170303302004,2
011170303502042,1
011170302202004,2
010730143032014,3
010730144102023,6
010730144051005,4
010730143041006,3
010730129071002,0
010730144091007,5
011170303502003,1
010730144091012,5
010730144122048,4
010730142093026,3
010730129083014,5
010730144061045,4
011170303461024,2
011170303512038,1
011170302163001,2
011170302211017,2
011170303142000,0
011170302162002,2
011170303502050,1
011170303462006,2
011170303472008,2
011170303512019,1
011170302202032,2
011170303511011,1
011170303502004,1
011170303303010,2
011170303471023,2
011170303042058,0
010730142082011,1
011170303041045,0
011170303142046,0
010730143032000,3
010730144143037,5
010730144142004,3
010730144092014,5
010730144083016,6
010730144061021,4
010730144062028,4
010730142093016,3
011170302211012,2
011170303041002,0
011170303473049,2
010730143033009,3
010730144143036,5
010730144091017,5
011170303472011,2
011170303044011,0
010730142052007,1
011170303523063,0
011170303042018,0
011170303471008,2
011170303041046,0
011170303472020,2
011170302202005,2
011170303303030,2
011170302204012,2
011170303512026,1
011170303043017,0
010730142093037,3
010730144052013,4
010730144081002,6
011170303501032,1
011170303511025,1
011170303512031,1
011170303462003,2
010730144102010,6
010730144143000,4
010730142083012,1
010730129084016,5
010730144081009,6
010730129073008,5
010730144081003,6
010730143033002,3
010730144143011,5
010730144141000,5
010730144063001,4
010730142081011,1
010730129072007,0
010730129073043,5
010730144052003,4
010730144151009,4
010730144061003,4
011170302201001,2
010730144083018,6
010730144103009,1
011170303523057,0
011170303053025,0
011170303524001,0
011170303473020,2
011170303461029,2
011170303044036,2
011170303462038,2
011170303524002,0
011170303483000,2
010730144122004,4
010730142084023,1
010730144091057,5
010730144091036,5
010730144061036,4
010730129133007,0
010730144091030,5
011170303512012,1
011170303523016,0
011170303041008,0
010730143032017,3
010730144141009,5
010730142083015,1
010730129073018,5
010730144061023,4
010730144061035,4
010730144151037,3
010730144151030,3
010730143033005,3
010730144061040,4
011170303483003,2
010730144103034,6
010730129171013,5
010730129073028,5
010730142093009,3
010730129083011,5
010730144102002,6
011170303044002,0
010730144061039,4
010730129084017,5
011170303461015,2
011170303472012,2
011170303521011,1
011170303473009,2
011170302211010,2
011170302211021,2
011170303473048,2
011170303312002,2
011170303462062,2
011170303501027,1
011170303523038,0
010730129083009,5
010730144103000,1
010730142082010,1
010730144082013,6
010730143034002,3
011170302123019,2
011170303511026,1
011170303502112,1
011170303142021,0
011170303522011,0
010730143041015,3
010730144092001,5
010730144103010,1
010730144122030,4
010730143032019,3
010730143034008,3
010730144103016,1
010730144091043,5
010730144151024,4
010730129081002,5
010730129082012,5
011170302202008,2
010730144083022,6
010730143041011,3
011170303142037,0
011170303462011,2
011170303512000,1
011170303502015,1
011170303472000,2
011170303053007,0
011170303044015,0
011170303044044,0
011170303524004,0
011170303523049,0
011170303142009,0
010730142093011,3
010730144063011,4
010730144062010,4
010730129074003,0
010730143032026,3
010730144151031,3
010730144051001,4
011170302202019,2
011170303462057,2
011170303042036,0
010730129084027,5
010730129073019,5
010730129192003,6
010730144122043,4
010730144083012,6
010730144092027,4
011170303303018,2
011170303523009,0
010730129083016,5
010730129182008,6
010730144064002,5
011170303473014,2
011170303522042,0
011170303523027,0
011170303302003,2
011170303462013,2
011170303044041,2
011170303511028,1
011170303044024,0
011170303462019,2
011170303041021,0
011170303502010,1
011170303512013,1
011170303053029,0
011170303522040,0
010730144121002,4
010730144053008,4
010730142081012,1
010730144062020,4
011170303041038,0
010730144081000,6
010730129182006,6
011170303364027,1
011170302203005,2
010730144081004,6
010730142093031,3
010730144091042,5
010730142083014,1
010730129074007,0
010730144062001,4
010730143032022,3
010730144092019,5
010730144061037,4
011170303524000,0
011170303142035,0
011170303043022,0
011170302201006,2
011170302201019,2
010730129084029,5
010730144091037,5
010730144041046,4
011170303053023,0
011170302123016,2
011170303473026,2
011170303523052,0
011170303523028,0
011170303472004,2
011170303461005,2
011170303042034,0
011170303472023,2
011170303462054,2
011170303142023,0
011170303511010,1
010730144103030,1
010730129072006,0
010730142084052,1
010730129073000,5
010730143041003,3
011170303043001,0
011170303473043,2
011170303502068,1
011170303502056,1
011170302202016,2
011170303483025,2
010730143034011,3
010730144152018,3
010730129073004,5
010730144121012,4
010730144143003,4
011170303142016,0
010730144091020,5
010730129083015,5
010730144083008,6
010730144062027,5
010730129073023,5
010730129082010,5
010730144053015,4
011179801001010,2
011170302211014,2
010730144082022,6
011170303462025,2
011170302202028,2
011170302203003,2
011170303512035,1
010730144142003,3
011170303471011,2
011170303141001,0
011170302121003,2
011170303501020,1
011170303041015,0
011170303511019,1
011170303303019,2
011170302211024,2
010730144052021,4
010730144122049,4
010730142084003,1
010730129133000,6
011170302202011,2
011170303511022,1
010730144061043,4
010730129072003,0
010730144103024,1
010730129084011,5
010730129133005,6
010730144102013,6
011170302123017,2
010730144151002,4
010730143033006,3
010730129083010,5
010730144142000,3
010730144102018,6
010730144103028,1
010730144151019,3
011170303044040,2
010730142083009,1
010730129172004,5
011170303462000,2
011170303303023,2
011170303042026,2
011170303462016,2
011170303501018,1
010730144061002,4
