GEOID20,DIST
281210209011083,4
281210209012013,4
281210209012021,4
281210201011013,4
281210210042013,0
281210202121030,1
281210205002011,3
281210201011018,4
281210202181003,2
281210202181002,2
281210203043002,1
281210201042014,1
281210204012026,0
281210204022027,0
281210202086018,2
281210208043008,3
281210201051062,4
281210210014019,0
281210203031003,1
281210202093006,1
281210201051039,4
281210201012030,4
281219800001019,3
281210210052007,0
281210202181011,2
281210202191001,2
281210203043019,3
281210203043010,1
281210204023013,0
281210204021009,0
281210203043009,3
281210210034046,0
281210210052047,0
281210204021004,0
281210208052046,3
281210210052014,0
281210208031001,4
281210204023006,0
281210205001019,3
281210205001010,3
281210202103016,1
281210210032014,0
281210210051007,4
281210209023031,4
281210201011074,1
281210205002001,3
281210209011037,4
281210209023030,4
281210208044018,4
281210202094014,1
281210202081012,2
281210202084006,2
281210209023056,4
281210201041020,2
281210207031001,3
281210208061020,4
281210202093011,1
281210202193018,2
281210203042004,3
281210201042006,2
281210204023011,0
281210202121043,3
281210202183001,2
281210209021057,4
281210210031005,0
281210203031010,1
281210202141000,1
281210208062015,4
281210201051031,4
281210208012027,3
281210210034012,0
281210208032005,4
281210202101016,1
281210208052009,2
281210208011000,4
281210210014015,0
281210201051009,4
281210208031044,4
281210210052038,0
281210205001005,3
281210204025002,3
281210204022008,0
281210201011027,4
281210210051014,4
281210208061012,4
281210202121037,3
281210202171020,3
281210209011022,4
281210209022033,4
281210207031040,3
281210210033018,0
281210202193010,2
281210201051086,4
281210201051077,4
281210204021040,3
281210210033007,0
281210209023011,4
281210210052073,0
281210202131007,2
281210202161023,3
281210210034001,0
281210208052027,3
281210201011045,4
281210203031021,1
281210204012000,3
281210202082002,2
281210210032010,0
281210210011017,0
281210201011040,4
281210210033037,0
281210210032016,0
281210208031056,4
281210209021029,4
281210202152012,1
281210202152006,1
281210201041022,4
281210209012008,4
281210202121032,3
281210209011077,4
281210209023034,4
281210203031015,1
281210210051009,4
281210203041003,3
281210202191008,2
281210202192002,2
281210203031000,1
281210204012002,3
281210202121008,1
281219800001009,3
281210203042000,3
281210202086009,2
281210202103004,1
281210210052032,0
281210209023048,4
281210204022029,3
281210208012029,4
281210201041031,4
281210201013005,1
281210201012008,4
281210208062010,4
281210210013012,0
281210202193020,2
281219800001006,3
281210209011054,4
281210210032008,0
281210210042029,0
281210202162009,3
281210202092005,1
281210201051037,4
281210209023016,4
281210210033012,0
281219800001023,3
281210205001011,3
281210209023019,4
281210209023014,4
281210204025000,3
